step	epoch	loss	huber_norm	physical_mae_mmh	threshold_mae_mmh	elapsed_sec	val_event_rmse	val_all_rmse
1	1	0.5072121	0.29752561	1.0547161	2.0842972	26.642	0.8389887	0.34897279
2	1	0.47107187	0.31794965	0.71305442	1.6363353	281.006		
3	1	0.40497425	0.27094159	0.57965803	1.521337	281.058		
4	1	0.42373669	0.27368301	0.63790071	1.7252719	281.114		
5	1	0.46277881	0.26164374	0.84183168	2.3390379	281.169		
6	1	0.33845702	0.21893643	0.57390445	1.2426033	281.223		
7	1	0.41878882	0.28455195	0.61409926	1.4565389	281.273		
8	1	0.39691281	0.23954648	0.65113109	1.8450642	281.324		
9	1	0.36310565	0.24060959	0.5488894	1.3521426	281.375		
10	1	0.36027551	0.22424805	0.62180459	1.4769396	281.425		
11	1	0.33212897	0.20692979	0.58151186	1.3409595	281.477		
12	1	0.36063731	0.21203077	0.69303	1.5860708	281.528		
13	1	0.35405993	0.21347186	0.57341546	1.6649307	281.580		
14	1	0.35146233	0.20850071	0.63463128	1.5899699	281.631		
15	1	0.41081834	0.24418104	0.76786005	1.7970254	281.681		
16	1	0.32466361	0.18277638	0.6167596	1.6042255	281.731		
17	1	0.34065557	0.22575754	0.50716275	1.2836347	281.781		
18	1	0.36475	0.22442012	0.63882071	1.5289562	281.831		
19	1	0.31772006	0.19639173	0.55755681	1.3114532	281.881		
20	1	0.28685766	0.18770574	0.45618033	1.0706776	281.931		
21	1	0.29169533	0.19420713	0.44460344	1.0605572	281.981		
22	1	0.34850618	0.20144093	0.60722065	1.7268639	282.033		
23	1	0.29975829	0.19021735	0.48132607	1.2281665	282.084		
24	1	0.29034472	0.17425446	0.52220404	1.2773972	282.135		
25	1	0.28031486	0.15458547	0.594257	1.326074	282.188		
26	1	0.29962271	0.18787639	0.53526819	1.1643898	282.239		
27	1	0.28955337	0.18188635	0.49803245	1.1572759	282.290		
28	1	0.30026668	0.16663989	0.5474906	1.5775547	282.340		
29	1	0.25815758	0.18264633	0.38173804	0.74674892	282.390		
30	1	0.31858149	0.18635333	0.61223435	1.4200948	282.440		
31	1	0.31906727	0.1681639	0.65568018	1.706707	282.490		
32	1	0.25634369	0.15747166	0.46562228	1.0461962	282.541		
33	1	0.38394317	0.18325529	0.82416451	2.3654289	282.591		
34	1	0.3165164	0.16110913	0.62401146	1.8601224	282.642		
35	1	0.28998652	0.16539267	0.57870275	1.3344717	282.693		
36	1	0.33672893	0.19324844	0.65425146	1.561107	282.743		
37	1	0.31039143	0.16419172	0.62721866	1.6695564	282.793		
38	1	0.24193946	0.14899477	0.43763685	0.98362005	282.843		
39	1	0.25194281	0.16362801	0.42755875	0.91117883	282.893		
40	1	0.29545176	0.15921754	0.56594491	1.5927948	282.944		
41	1	0.32702121	0.19008845	0.62150335	1.4956484	282.994		
42	1	0.33461422	0.20383024	0.63059807	1.3544836	283.044		
43	1	0.2783305	0.14803426	0.56126416	1.4833963	283.094		
44	1	0.29605746	0.17659359	0.54526043	1.2987568	283.147		
45	1	0.23391253	0.15349278	0.38057613	0.84724259	283.199		
46	1	0.30752355	0.1572516	0.61766851	1.7701018	283.249		
47	1	0.25029555	0.1619952	0.4279964	0.91001403	283.299		
48	1	0.27685368	0.16619401	0.53845084	1.1362917	283.350		
49	1	0.25258383	0.12094444	0.57759726	1.4775932	283.400		
50	1	0.27427229	0.17079625	0.47836989	1.1127809	283.451		
51	1	0.28766042	0.14056352	0.66094857	1.6200407	283.502		
52	1	0.25862977	0.13983682	0.49962568	1.3766079	283.552		
53	1	0.32615075	0.16678861	0.71562946	1.7559837	283.602		
54	1	0.31555215	0.15461169	0.70829582	1.8022172	283.652		
55	1	0.30355623	0.17078321	0.62997425	1.395512	283.703		
56	1	0.29680049	0.16903619	0.60056365	1.3541588	283.753		
57	1	0.3268761	0.18442184	0.63325357	1.5825782	283.803		
58	1	0.35646895	0.18677542	0.70270538	1.9884596	283.853		
59	1	0.30673811	0.16103175	0.63878477	1.6365573	283.903		
60	1	0.2483269	0.15734236	0.43075538	0.95817995	283.953		
61	1	0.33530143	0.16345571	0.75284904	1.9312161	284.003		
62	1	0.2994346	0.16986087	0.56946731	1.4525404	284.055		
63	1	0.33171999	0.15959656	0.67731851	2.0878315	284.106		
64	1	0.29401761	0.1785163	0.52510017	1.2598258	284.157		
65	1	0.29241148	0.15655376	0.60902411	1.4991058	284.207		
66	1	0.25251934	0.15289089	0.4450326	1.102504	284.260		
67	1	0.29170257	0.16378234	0.56332487	1.4317551	284.310		
68	1	0.264431	0.13359162	0.60327899	1.4102296	284.364		
69	1	0.30220506	0.1891422	0.50832099	1.2446152	284.415		
70	1	0.24987449	0.16999686	0.38662714	0.82429826	284.467		
71	1	0.35563967	0.19021562	0.65511036	1.9982598	284.519		
72	1	0.23700903	0.14296655	0.41465935	1.0515308	284.571		
73	1	0.27480525	0.14905059	0.55658501	1.4019229	284.622		
74	1	0.29268384	0.15996312	0.6242547	1.4059048	284.671		
75	1	0.29131389	0.15663211	0.56299257	1.5676503	284.723		
76	1	0.26226631	0.14696111	0.49755439	1.3109951	284.773		
77	1	0.39612946	0.1960102	0.80581319	2.3907583	284.823		
78	1	0.21479703	0.14606681	0.34903789	0.67652839	284.875		
79	1	0.30142573	0.16113716	0.6277504	1.5502704	284.926		
80	1	0.27870008	0.17569411	0.48704362	1.0860322	285.030		
81	1	0.2512092	0.15453704	0.44352531	1.0463924	285.177		
82	1	0.28472197	0.14343879	0.60498095	1.615702	285.685		
83	1	0.28496194	0.16183299	0.55630565	1.3499674	285.795		
84	1	0.30252123	0.16091245	0.63588583	1.5604036	285.847		
85	1	0.24859948	0.14606351	0.48755527	1.075609	285.898		
86	1	0.29195437	0.17785969	0.52004755	1.2417982	285.947		
87	1	0.27620545	0.16320494	0.48854035	1.2829295	285.998		
88	1	0.26444611	0.1753909	0.44050735	0.9000892	286.048		
89	1	0.24578317	0.14070366	0.48508108	1.1314278	286.097		
90	1	0.25244981	0.15056813	0.46590552	1.1058223	286.148		
91	1	0.2660403	0.13862203	0.56863922	1.411087	286.198		
92	1	0.30093426	0.17577712	0.55183715	1.3994684	286.248		
93	1	0.29534763	0.16948001	0.54046792	1.4364164	286.300		
94	1	0.27293253	0.17626767	0.44037148	1.052554	286.353		
95	1	0.31171906	0.14000776	0.72159529	1.9910352	286.405		
96	1	0.26508701	0.1598797	0.48235822	1.1394299	286.457		
97	1	0.26875356	0.15125106	0.53379267	1.2824647	286.507		
98	1	0.26660678	0.15485913	0.49507034	1.2448124	286.559		
99	1	0.27537772	0.1669651	0.49811095	1.1720303	286.609		
100	1	0.31992707	0.18596315	0.58578575	1.5077066	286.661		
101	1	0.3092145	0.14060466	0.68704528	1.9981062	286.710		
102	1	0.24738336	0.14378498	0.44550604	1.1809552	286.760		
103	1	0.26533619	0.14768617	0.54195154	1.2690972	286.809		
104	1	0.19550309	0.12420261	0.34490275	0.73620415	286.860		
105	1	0.29020894	0.18605039	0.49177989	1.0996115	286.910		
106	1	0.23931798	0.14550558	0.4385559	0.99913639	286.960		
107	1	0.23635218	0.14552401	0.43765587	0.94125146	287.009		
108	1	0.23432413	0.13984428	0.43211854	1.0253595	287.061		
109	1	0.27643397	0.1509943	0.54398823	1.4208173	287.110		
110	1	0.22924472	0.12985705	0.46444175	1.0588698	287.162		
111	1	0.23883693	0.14902078	0.42770943	0.94090432	287.213		
112	1	0.21091211	0.13052279	0.39456064	0.81866491	287.265		
113	1	0.28941634	0.16448326	0.52856773	1.4415262	287.316		
114	1	0.31327894	0.17522459	0.59579611	1.5694947	287.369		
115	1	0.22622159	0.1272417	0.45141667	1.0767643	287.420		
116	1	0.25627252	0.13011232	0.54510397	1.432996	287.470		
117	1	0.25457558	0.13931037	0.50476098	1.2957819	287.520		
118	1	0.29340801	0.15235539	0.60799259	1.6050673	287.569		
